;cleaned_tweet;polarity;sentimen;;;;;;;;;;;;;;
2452;lionel messi yang telah tang piala dunia 2022 sama argentina kini kabar sepakat panjang kontrak di psg messi belum bikin mbappe cs patah hati usai kandas di final piala dunia;-0,025;-1;;;;;;;;;;;;;;
2453;bar piala dunia akeh wong do pusing ngopi udut karo cekel sirah;0;0;;;;;;;;;;;;;;
2454;argentina rencana cetak uang gambar lionel messi pasca juara piala dunia 2022 enamplus;0;0;;;;;;;;;;;;;;
2455;siapa tahu lho th 2026 bisa nonton piala dunia di negara hostnya iya kan;0,285714286;1;;;;;;;;;;;;;;
2456;piala dunia 2022 messi jadi main baik ronaldo jadi main buruk;-0,7;-1;;;;;;;;;;;;;;
2457;yuk move on dari piala dunia sekarang waktu saksi juang indonesia di aff 2022 ikut jadwal lengkap;0,1;1;;;;;;;;;;;;;;
2458;latih manchester united khawatir main bintang sulit adaptasi usai piala dunia main anggap butuh waktu untuk kembali ke gaya main setan merah;-0,5;-1;;;;;;;;;;;;;;
2459;salt bae larang hadir final piala as buka usai angkat trofi piala dunia enamplus;0;0;;;;;;;;;;;;;;
2460;4iii na t3h5h presiden punya hajat kopitnya hilang di qatar gak pakai kopat kapit piala dunia lancar no masker no jaga jarak dan sampai sekarang gak ada yang tular kopit;-0,2;-1;;;;;;;;;;;;;;
2461;kenapa argentina tidak puncak ranking fifa usai juara piala dunia;0,5;1;;;;;;;;;;;;;;
2462;arsenal mungkin akan hilang gabriel jesus dalam waktu yang cukup lama sebab masalah lutut yang ia alami di qatar saat piala dunia 2022;0,375;1;;;;;;;;;;;;;;
2463;waktu piala dunia untuk asia tenggara dan sekitar;0;0;;;;;;;;;;;;;;
2464;liverpool siap tawar besar untuk main muda baik piala dunia 2022;0,15;1;;;;;;;;;;;;;;
2465;belum pernah ada latih asing yang jadi juara piala dunia;-0,125;-1;;;;;;;;;;;;;;
2466;salt bae pegang trofi piala dunia 2022 apa itu salah;-0,5;-1;;;;;;;;;;;;;;
2467;goal id piala dunia dunia negara negara overrated;0;0;;;;;;;;;;;;;;
2468;idextratime pria ini tabur garam atas piala dunia;0;0;;;;;;;;;;;;;;
2469;ceramah jum at ini tentang piala dunia qatar;0;0;;;;;;;;;;;;;;
2470;stadion piala dunia qatar 2022 yang buat dari bahan bekas nia ramadhani mirip sibirubiru hobi prankgbk;0;0;;;;;;;;;;;;;;
2471;pssi piala dunia qatar aman di indo sik prokas prokes;0,5;1;;;;;;;;;;;;;;
2472;cnnindonesia ngarep juara wkwk kalahin dulu tuh thailand lagi aff gak masuk kalender fifa juara piala asia seperti lolos kualifikasi piala dunia 2026 itu baru target wkwk kocak;0,15;1;;;;;;;;;;;;;;
2473;realmadridindo1 saya suka barca tapi ini fakta sih tidak apa-apa inti messi sudah juara piala dunia goat satu satu;0,5;1;;;;;;;;;;;;;;
2474;capek juga mute snapgram snapgram tentang piala dunia beberapa hari belakang ini;-0,283333333;-1;;;;;;;;;;;;;;
2475;ingar bingar piala dunia 2022 baru saja selesai heboh pesta bola dunia itu rupa imbas buruk pada pasu orang bintang situs dewasa;0;0;;;;;;;;;;;;;;
2476;ivana knoll sukses curi perhati dunia dengan hadir di piala dunia 2022 telah gelar olahraga yang gelar di qatar itu akhir ia pun akhir siap pulang yang buat menang;0,75;1;;;;;;;;;;;;;;
2477;rifqizuhdi281 goal id piala dunia saja bisa di atur kan kata;0,285714286;1;;;;;;;;;;;;;;
2478;dennysiregar7 moga banyak bicara ini seperti banyak bicara piala dunia 2022;0;0;;;;;;;;;;;;;;
2479;ingar bingar piala dunia 2022 baru saja selesai heboh pesta bola dunia itu rupa imbas buruk pada pasu orang bintang situs dewasa;0;0;;;;;;;;;;;;;;
2480;zakimhmmd9 mniin3 idextratime maksud dia kontribusi hadap capai inggris di piala dunia dengan gol gol nya nunez mana wkwk;0;0;;;;;;;;;;;;;;
2481;siaranbolalive pria ini tabur garam atas piala dunia;0;0;;;;;;;;;;;;;;
2482;wow wajah lionel messi bakal hias mata uang argentina peso usai bawa juara di piala dunia 2022;0,1;1;;;;;;;;;;;;;;
2483;highlight piala dunia belanda vs argentina skor 2 2 pen 3 4 argentinavsbelanda pialadunia;0;0;;;;;;;;;;;;;;
2484;timnas argentina juara piala dunia 2022 cristiano ronaldo sama portugal lebih sulit;0;0;;;;;;;;;;;;;;
2485;4 lembaga pemasyarakatan palembang kemenkumham sumsel para tugas guna jersey banggan tim masing masing untuk tambah riah saat tonton final piala dunia palembanglpka lpkapalembang hamdihasibuan;0,266666667;1;;;;;;;;;;;;;;
2486;2 demam piala dunia memang dapat hampir siapa saja tidak kecuali tugas lembaga pemasyarakatan palembang kemenkumham sumsel minggu 18 12 malam palembanglpka lpkapalembang hamdihasibuan;0;0;;;;;;;;;;;;;;
2487;rilis 7 22 12 1 kakanwil kemenkumham sumsel harun sulianto apresiasi lembaga pemasyarakatan palembang gelar acara nonton bareng piala dunia 2022 yang hadir oleh jabat struktural jajar pegawai lembaga pemasyarakatan lembaga pemasyarakatan kelas i palembang palembanglpka lpkapalembang hamdihasibuan;0;0;;;;;;;;;;;;;;
2488;hyang wisnu kemkominfo platejohnny usaha yang sudah beli dan dapat hak siar atas giat piala dunia 2022 di indonesia maka mereka hak buat regulasi atas hak sebut kemkominfo platejohnny;0,285714286;1;;;;;;;;;;;;;;
2489;ruben dias harus tepi lama bulan ke depan lantar alami cedera bek asal portugal milik masalah pada paha kala bela portugal di piala dunia 2022 mail online;0,25;1;;;;;;;;;;;;;;
2490;faktasepakbola mari kita sambut mereka tahun depan dengan kibar bendera palestina besar besar dan ayo kita nyanyi chant2 yang buat down mental mereka di piala dunia kamu 20 balas dengan elegan bukan arogan freepalestine fuckisrael;0,111746032;1;;;;;;;;;;;;;;
2491;hadir di tengah celebrasi piala dunia seperti lalat hinggap daging steak entah apa sanksi;0;0;;;;;;;;;;;;;;
2492;polis tumpas giat judi bola sepak piala dunia qatar 2022 dengan tahan 690 bookie atau punter dalam serbu di seluruh negara sejak 19 november lalu sehingga kelmarin;0;0;;;;;;;;;;;;;;
2493;tampil impresif di piala dunia 2022 banyak klub pati achraf hakim namun sang agen tegas bahwa bek kanan maroko itu senang di psg beinligue1;0,397619048;1;;;;;;;;;;;;;;
2494;baru sadar piala dunia telah lalu masih ada manis2 bagaimana sekarang kembali ke real life kadang juga manis tapi bisa juga asin bahkan pahit tidak sedikit kecap manis;0,148958333;1;;;;;;;;;;;;;;
2495;11fess piala dunia memang sudah benar benar disetting;0,2;1;;;;;;;;;;;;;;
2496;barcabandidos 10 juni 2019 saya sudah bodoh amat sm si dodo mau dia juara piala dunia pun bodoh amat saya mah dia mantan main madrid tidak lebih dari itu kamu tidak perlu bawa2 fans madrid dan dodolovers aku madridista aku messi lebih baik drpd ronaldo;-0,208333333;-1;;;;;;;;;;;;;;
2497;dejan kulusevski percaya diri tottenham hotspur bisa makin gacor usai piala dunia;0,5;1;;;;;;;;;;;;;;
2498;respect is gone telah lihat raya sang juara baru piala dunia seperti jadi raya untuk hina yang kalah entah hanya lelucon atau apa tapi tidak raya itu bukan untuk hina tapi untuk raya hasil sama tanpa libat yang telah kalah;0,127272727;1;;;;;;;;;;;;;;
2499;nocontextfooty anjing brock lesnar angkat piala dunia;0;0;;;;;;;;;;;;;;
2500;jadi pahlawan argentina di pialadunia wajah messi isu akan pampang di mata uang peso;0;0;;;;;;;;;;;;;;
2501;fifa rilis peringkat negara telah piala dunia argentina dan indonesia naik satu tingkat peringkatfifa;0;0;;;;;;;;;;;;;;
2502;iler ences idextratime postingan instagram dia tentang piala dunia lebih argentina banding main argentina nya sendiri dong;0,55;1;;;;;;;;;;;;;;
2503;sisa piala dunia;0;0;;;;;;;;;;;;;;
2504;4 lembaga pemasyarakatan palembang kemenkumham sumsel para tugas guna jersey banggan tim masing masing untuk tambah riah saat tonton final piala dunia palembanglpka lpkapalembang hamdihasibuan;0,266666667;1;;;;;;;;;;;;;;
2505;2 demam piala dunia memang dapat hampir siapa saja tidak kecuali tugas lembaga pemasyarakatan palembang kemenkumham sumsel minggu 18 12 malam palembanglpka lpkapalembang hamdihasibuan;0;0;;;;;;;;;;;;;;
2506;rilis 7 22 12 1 kakanwil kemenkumham sumsel harun sulianto apresiasi lembaga pemasyarakatan palembang gelar acara nonton bareng piala dunia 2022 yang hadir oleh jabat struktural jajar pegawai lembaga pemasyarakatan lembaga pemasyarakatan kelas i palembang palembanglpka lpkapalembang hamdihasibuan;0;0;;;;;;;;;;;;;;
2507;telah pesta piala dunia kini netizen indonesia bara dukung menang perdana timnas indonesia vs kamboja;0,525;1;;;;;;;;;;;;;;
2508;lionel messi tidur peluk trofi piala dunia suka 27 4 juta kali;0;0;;;;;;;;;;;;;;
2509;timnas vietnam satu satu tim asean yang bisa main di piala dunia 2026;0;0;;;;;;;;;;;;;;
2510;promosi piala dunia 2022 like share dapat 5 follow step 1 share 2 groups 2 like post in page 3 ambil gambar hantar kepada admin fb page cepat pm admin dapat 5;0,2;1;;;;;;;;;;;;;;
2511;media prancis sebut gol dua lionel messi di final piala dunia 2022 tidak sah apa alas;0;0;;;;;;;;;;;;;;
2512;messi telah tang piala dunia 2022 sama argentina kini ia kabar sepakat panjang kontrak di psg;-0,05;-1;;;;;;;;;;;;;;
2513;enzo fernandez main muda baik piala dunia 2022;0,1;1;;;;;;;;;;;;;;
2514;barcabandidos iri sama fans barca wkwkwk 2 musim berturut2 main di uel buat iri fans lain wkwkwkwk dan musim kmrin nol gelar 4 kompetisi lah liga ucl uel copa del rey masih nol gelar terus kenapa harus iri sm fans barca messi juara piala dunia juga bukan status main barca;-0,125;-1;;;;;;;;;;;;;;
2515;untung besar presiden fifa ingin piala dunia gelar tiga tahun sekali;0,3;1;;;;;;;;;;;;;;
2516;kakak cristiano ronaldo nilai piala dunia 2022 buruk panjang masa;-0,375;-1;;;;;;;;;;;;;;
2517;dramalinabakri yang lgbt tu sah2 sumbang sakit aids dan hiv kepada juta org seluruh dunia elok pulak abang sokong smp ke piala dunia mereka beria2 konon tunjuk sokong kepada golong songsang tu nasib baik qatar tegas halang segala bentuk sokong kepada lgbt piala dunia 2022;0,402;1;;;;;;;;;;;;;;
2518;fifa laku investigasi kait langgar akses masuk yang laku koki sekaligus influencer salt bae usai laga final piala dunia 2022 juaraboladunia;0;0;;;;;;;;;;;;;;
2519;aull udell 2 5 tahun kontrak bagai main 4 5 kontrak bagai brand ambassador saudi arabia untuk jadi tuan rumah piala dunia 2030;0;0;;;;;;;;;;;;;;
2520;shin tae yong sebut piala aff sudah kayak piala dunia goal indonesia arenanews kamidi opsiminfo;0;0;;;;;;;;;;;;;;
2521;scaloni paksa messi ke piala dunia 2026 mau buat ronaldo derita cnn indonesia google berita olahraga arenanews kamidi opsiminfo;-0,3;-1;;;;;;;;;;;;;;
2522;norak banget masih pakai masker saja apa beda sama piala dunia kemarin;0,1;1;;;;;;;;;;;;;;
2523;saya benar benar hampir mati simak reaksi fans argentina telah saksi final piala dunia 2022 nan dramatis fifaworldcup qatar2022 arg;0,1;1;;;;;;;;;;;;;;
2524;espn var wasit premier league laku 6 salah intervensi di paruh pertama musim belum jeda piala dunia masuk gol arsenal yang cetak oleh gabriel martinelli di manchester united arsenal gembos;0,041666667;1;;;;;;;;;;;;;;
2525;siaranbolalive menang final piala dunia adl menang di maria;0,333333333;1;;;;;;;;;;;;;;
2526;siaranbolalive salt baee daftar bagai juru masak ahli gizi argentina pada world cup qatar 2022 yang arti dia resmi milik medali piala dunia dan hak raya sama squad argentina hal yang tidak cerita di media so take a note teman-teman;0;0;;;;;;;;;;;;;;
2527;ini ranking fifa baru usai piala dunia 2022 peringkat indonesia ikut roket naik timnasday timnasindonesia;0,136363636;1;;;;;;;;;;;;;;
2528;dennysiregar7 saya ga yakin sama yang dukung kalau inget akurat analisanya di piala dunia kemarin;0,075;1;;;;;;;;;;;;;;
2529;ini ranking fifa baru usai piala dunia 2022 peringkat indonesia ikut roket naik timnasday timnasindonesia;0,136363636;1;;;;;;;;;;;;;;
2530;yusufgunawan efek piala dunia 3 0;0;0;;;;;;;;;;;;;;
2531;ingar bingar piala dunia 2022 baru saja selesai heboh pesta bola dunia itu rupa imbas buruk pada pasu orang bintang situs dewasa;0;0;;;;;;;;;;;;;;
2532;jadi kiper baik piala dunia 2022 nyata tidak buat emiliano martinez erti cara harga manusia;0,45;1;;;;;;;;;;;;;;
2533;starting xi buruk piala dunia 2022 fifaworldcup;-0,35;-1;;;;;;;;;;;;;;
2534;realmadridindo1 bocil kyanya ini admin nya julid melulu stresssss kali mang dodo g bisa kya messi cium piala dunia;0;0;;;;;;;;;;;;;;
2535;dennysiregar7 harus ke yang di tag kemarin pas undang tasyakur piala dunia kurir salah;0;0;;;;;;;;;;;;;;
2536;piala dunia;0;0;;;;;;;;;;;;;;
2537;meongcapek piala dunia pov iki;0;0;;;;;;;;;;;;;;
2538;atas tuju fifa buka piala dunia kamu 20 tahun 2023 bisa langsung riah;0;0;;;;;;;;;;;;;;
2539;lembaga pemasyarakatan palembang kemenkumham sumsel para tugas guna jersey banggan tim masing masing untuk tambah riah saat tonton final piala dunia 5 palembanglpka 6 lpkapalembang 7 hamdihasibuan;0,266666667;1;;;;;;;;;;;;;;
2540;demam piala dunia memang dapat hampir siapa saja tidak kecuali tugas lembaga pemasyarakatan palembang kemenkumham sumsel minggu 18 12 malam 3 palembanglpka 4 lpkapalembang 5 hamdihasibuan;0;0;;;;;;;;;;;;;;
2541;kakanwil kemenkumham sumsel harun sulianto apresiasi lembaga pemasyarakatan palembang gelar acara nonton bareng piala dunia 2022 yang hadir oleh jabat struktural jajar pegawai lembaga pemasyarakatan lembaga pemasyarakatan kelas i palembang 2 palembanglpka 3 lpkapalembang 4 hamdihasibuan;0,066666667;1;;;;;;;;;;;;;;
2542;baru saja juara piala dunia 2022 berapa posisi argentina di ranking fifa;0,5;1;;;;;;;;;;;;;;
2543;indostransfer eh bahkan juara piala dunia kamu 20;0;0;;;;;;;;;;;;;;
2544;faktasepakbola ga asa 4 tahun lagi darwin nunez angkat trofi piala dunia;0;0;;;;;;;;;;;;;;
2545;ibrahimaliakba idextratime uda jngan nang ronaldo sdh menang piala dunia kok semangat;0;0;;;;;;;;;;;;;;
2546;admwid dhiblenk idextratime kalau logika kayak gitu arti sebab ronaldo gagal piala dunia karena main di emyu;-0,5;-1;;;;;;;;;;;;;;
2547;update ranking fifa pasca piala dunia 2022 argentina bukan yang atas emtekworldcup2022 bolacomworldcup2022 pialadunia2022 pialadunia;0;0;;;;;;;;;;;;;;
2548;idextratime kalau emang sudah tahu piala dunia kali ini di atur untuk messi cs terus kenapa all in di francis;0;0;;;;;;;;;;;;;;
2549;messi s suitcase by antonella perazzoni tumbuh dengan messi hingga juara piala dunia memang lengkap bahagia buat banyak orang;0,65;1;;;;;;;;;;;;;;
2550;gabriel jesus cedera parah telah piala dunia 2022 pep guardiola kirim doa;-0,333333333;-1;;;;;;;;;;;;;;
2551;ini dateng dari latih yang dulu pernah hajar jerman di russia arti valid piala aff piala dunia moga indonesia bisa dapat piala aff di edisi sekarang;0;0;;;;;;;;;;;;;;
2552;gardenishe piala dunia yang menang bukan cuma argentina tapi iki juga menang piala dunia cewek;0;0;;;;;;;;;;;;;;
2553;bola piala dunia buat di indonesia nia ramadhani mirip sibirubiru hobi prankgbk;0;0;;;;;;;;;;;;;;
2554;nekat cium trofi piala dunia salt bae tidak boleh hadir final us open cup 2023;-0,15;-1;;;;;;;;;;;;;;
2555;dalam rangka piala aff yang baru mulai dan pada yang baru usai kita bikin survei lucu2an nanti 4 tahun lagi kita balik ke twit ini negara dari asia tenggara mana yang bakal lolos ke piala dunia 2026 di amrik kanada meksiko;0,130681818;1;;;;;;;;;;;;;;
2556;ejek kylian mbappe usai juara piala dunia 2022 emiliano martinez mari hening cipta untuk dia yang sudah mati;-0,1;-1;;;;;;;;;;;;;;
2557;25 juta chat whatsapp kirim ketika final piala dunia 2022 qatar;0;0;;;;;;;;;;;;;;
2558;scaloni paksa messi ke piala dunia 2026 mau buat ronaldo derita cnn indonesia google berita olahraga arenanews kamidi opsiminfo;-0,3;-1;;;;;;;;;;;;;;
2559;fifa investigasi salt bae masuk lapang final piala dunia;0;0;;;;;;;;;;;;;;
2560;perintah dan fifa pasti piala dunia kamu 20 jala sesuai standar kerja jokowi baik jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur;0;0;;;;;;;;;;;;;;
2561;piala dunia kelar piala aff 2022 nanti emang gak habis habis iya persepakbolaan ini apalagi kali ini bisa dukung negara sendiri makin riah pasti ayo kita kawal timnas kita biar maju sampai menang indonesia partaiamanatnasional;0,26;1;;;;;;;;;;;;;;
2562;shin tae yong sebut piala aff sudah kayak piala dunia goal indonesia arenanews kamidi opsiminfo;0;0;;;;;;;;;;;;;;
2563;dr koko28 iya dok para tukang fitnah itu memang nyebelin ngomong-ngomong pas nikah putra presiden dan piala dunia kemarin mana dok padahal netizen nunggu advis tentang corona nya loh;-0,8;-1;;;;;;;;;;;;;;
2564;goal id bahkan kaya game online yang itu bilang piala dunia tapi isi tim asean semua;-0,4;-1;;;;;;;;;;;;;;
2565;fifa umum tengah selidik aksi koki selebritas salt bae yang turut sentuh dan cium trofi piala dunia ketika argentina laku selebrasi di lapang;0,05;1;;;;;;;;;;;;;;
2566;realmadridindo1 iniesta 27 tahun sudah juara world cup euro ton kross 27 tahun sudah juara world cup pirlo 27 tahun sudah juara world cup zidane 27 tahun sudah world cup euro sementara ada yang 35 tahun baru juara piala dunia dipuja2 karena skr usia tua;0,076623377;1;;;;;;;;;;;;;;
2567;anggaputraf nyumpahinnya agak baik dan pilih2 sih iya ajang non resmi fifa arti masih support kalau timnas main di piala asia piala dunia;0,316666667;1;;;;;;;;;;;;;;
2568;indonesia mah maha rek juara piala dunia ngucapkeun hari ibu ge dipermasalahkeun;0;0;;;;;;;;;;;;;;
2569;jadwal tanding bri liga i indonesia 2022 2023 jumat 23 desember 2022 parlay parlayjitu pialadunia sepakbola pestabola mixparlay tembusparlay hdp handicap pasaranbola viral briliga1 pssi;0;0;;;;;;;;;;;;;;
2570;sambut timnas maroko usai laga di piala dunia 2022 luar biasa hemm bukan sambut bacapres lho iya;0,8;1;;;;;;;;;;;;;;
2571;iyangaprill duet bapuk piala dunia;0;0;;;;;;;;;;;;;;
2572;ranirositaa ajikgya karena jadi tamu tidak undang ran ga sembarang org boleh nyentuh piala dunia;0;0;;;;;;;;;;;;;;
2573;5 pesepakbola yang iri lionel messi bawa argentina juara piala dunia 2022 nomor 1 paling sakit hati;0,5;1;;;;;;;;;;;;;;
2574;kylian mbappe beberapa kali jadi sasar olok olok kiper argentina emiliano martinez usai piala dunia 2022 federasi sepakbola prancis pun sampai turun tangan;0;0;;;;;;;;;;;;;;
2575;ada yang viral saat piala dunia 2022 kemarin;0;0;;;;;;;;;;;;;;
2576;lionel messi ingin arak trofi piala dunia argentina di sekitar stadion psg tetapi para petinggi klub enggan tentang reaksi yang akan timbul telah bintang prancis kylian mbappe biar hancur oleh kalah di final dailymail;0,066666667;1;;;;;;;;;;;;;;
2577;goal id apa si cacat disandingin ke piala dunia iya jauh;0,1;1;;;;;;;;;;;;;;
2578;jungkook979797x bang sudah bang piala dunia sudah kelar;0;0;;;;;;;;;;;;;;
2579;komunitasbambu detikcom yang kemarin dukung timnas belanda di piala dunia itu sampah banget wkwkwk;0,2;1;;;;;;;;;;;;;;
2580;fifa sedang selidik ada yang sebab salt bae rusak raya piala dunia argentina di qatar pada hari minggu skysports;0;0;;;;;;;;;;;;;;
2581;chef salt bae masuk lapang dan pegang trofi piala dunia 2022 fifa akan ambil langkah tegas jogjaku kotagaul random;-0,35;-1;;;;;;;;;;;;;;
2582;selamat kepada mas ammar ramdhani menang kuis tebak juara piala dunia 2022 hak dapat hadiah merchandise upa t shirt dari warm warm idn moga manfaat sukses selalu mas upcassemble upcuyeupchore warmxupc warm utdindonesia utdindonesiapas;0,58;1;;;;;;;;;;;;;;
2583;fifa akan laku investigasi hadap celebrity chef asal turki salt bae fifa akan cari tahu asal muasal salt bae bisa larut dalam raya juara argentina di piala dunia 2022 kumparanbola;0;0;;;;;;;;;;;;;;
2584;bukayo saka lupa singkir inggris dari piala dunia saat ia kembali aksi untuk arsenal dalam tanding sahabat lawan luton jelang tanding boxing day the gunners lawan west ham dailymail;0,1;1;;;;;;;;;;;;;;
2585;hitacheese hbd iya kak moga argentina juara piala dunia;0;0;;;;;;;;;;;;;;
2586;ini trophy pertama piala dunia yang curi pada tahun 1983 telah itu fifa buat atur hanya beri replika trophy kepada menang;0,35;1;;;;;;;;;;;;;;
2587;fifa laku investigasi kait bagaimana chef selebritas salt bae dapat akses yang tidak mesti ke lapang pada final piala dunia untuk;0;0;;;;;;;;;;;;;;
2588;piala dunia sudah usai semua main kembali ke club nya di inggris ada tanding carabao cup di tengah pekan ini kali ini kita bahas tanding antara city dan liverpool dua tim yang saat ini digdaya di liga ingris bagaimana ulas lengkap;0,1;1;;;;;;;;;;;;;;
2589;brotot doang tidak ada piala dunia nya;0;0;;;;;;;;;;;;;;
2590;hype piala dunia masih ada jadi yang biasa malas nonton timnas sekarang rasa nanti sore harus nonton;0;0;;;;;;;;;;;;;;
2591;imxyourbae idextratime aguero saja legenda argentina ngab sudah gitu satu linting sama generasi messi otamendi tagliafico dan lain-lain iya tidak ada uang salah terus juga ada rumor masuk jajar staf latih analogi kaya indonesia juara dunia terus bp angkat piala iya tidak ada uang yang protes juga;0,25;1;;;;;;;;;;;;;;
2592;rincian kontrak pun liput dalam 2 5 tahun awal ronaldo akan tindak bagai main ia akan aktif laga di lapang sama al nassr telah ia tugas jadi duta kampanye arab saudi sama mesir serta yunani jadi calon tuan rumah piala dunia 2030;-0,094444444;-1;;;;;;;;;;;;;;
2593;siaranbolalive juara piala dunia harus anulir gara2 aksi ini;0,1;1;;;;;;;;;;;;;;
2594;minsikveil bukan sudah selesai piala dunia mau nyudul siapa lagi bang;0;0;;;;;;;;;;;;;;
2595;moga ga juara 2 piala dunia asia tenggara lagi;0;0;;;;;;;;;;;;;;
2596;youtube bola piala dunia buat di indonesia amanda zahra denisepembohonganpublik desember;0;0;;;;;;;;;;;;;;
2597;gabriel jesus cedera parah telah piala dunia 2022 pep guardiola kirim doa okezone bola;-0,333333333;-1;;;;;;;;;;;;;;
2598;goal id tertawa piala dunia tertawa baca;0;0;;;;;;;;;;;;;;
2599;barcastuff idn rill kah min telah suarez iniesta dan pique juga akan berangkat ke rosario argentina untuk raya natal sama keluarga messi belum lapor usai messi pasti raih piala dunia inesta kabar minta cara pribadi kepada messi agar mau kembali ke barca;0,8;1;;;;;;;;;;;;;;
2600;tolak lupa ini deret fakta tarik fase gugur dan final piala dunia 2022;0;0;;;;;;;;;;;;;;
2601;ramai tolak salt bae dari sepak bola usai pegang trofi piala dunia idntimes arenanews kamidi opsiminfo;0,1;1;;;;;;;;;;;;;;
2602;alhamdulillah meski sudah juara piala dunia cak messi tetap tunai wajib;0;0;;;;;;;;;;;;;;
2603;moga juara piala dunia asean;0;0;;;;;;;;;;;;;;
2604;idextratime ikut adalah jadi jadi aneh saat argentina juara piala dunia 2022 media;-0,05;-1;;;;;;;;;;;;;;
2605;ramai tolak salt bae dari sepak bola usai pegang trofi piala dunia idntimes arenanews kamidi opsiminfo;0,1;1;;;;;;;;;;;;;;
2606;polis tahan 690 bookie panjang piala dunia qatar;-0,05;-1;;;;;;;;;;;;;;
2607;fifa mulai selidik insiden salt bae masuk lapang di final piala dunia;0;0;;;;;;;;;;;;;;
2608;siaranbolalive cuma argen juara skrng trophy piala dunia bukan jadi barang yang mewah siapa saja bisa sentuh asal punya kenal main staft argentina;-0,025;-1;;;;;;;;;;;;;;
2609;kata ada peran dukun dalam sukses argentina raih trofi juara piala dunia;0,55;1;;;;;;;;;;;;;;
2610;messi butuh waktu 17 tahun lama untuk bawa argentina juara piala dunia mbappe hanya butuh waktu 1 tahun untuk bawa prancis juara piala dunia dan lolos ke final banyak 2 kali turut turut;0;0;;;;;;;;;;;;;;
2611;taruh reputasi mentalist romy rafael dan istri di final piala dunia 2022;0;0;;;;;;;;;;;;;;
2612;tiru sukses kroasia di piala dunia inter mil siap trio mkhitaryan dan calhanoglu serta brozovic;0,3;1;;;;;;;;;;;;;;
2613;strategi macam ga bisa tebak habis piala dunia pasti madrid beli main moncer;0;0;;;;;;;;;;;;;;
2614;akan indonesia rebut piala dunia asean untuk pertama kali panjang sejarah pada edisi kali ini timnasindonesia pialaaff;0,525;1;;;;;;;;;;;;;;
2615;today messagee kalah piala dunia;0;0;;;;;;;;;;;;;;
2616;kegblgnunfaedh mbappe hattrick di piala dunia tapi dia;0;0;;;;;;;;;;;;;;
2617;latih timnas indonesia shin tae yong aku piala aff memang jadi turnamen yang paling sedot perhati di kawasan asia tenggara bahkan shin nyata aura piala aff sebut mirip dengan piala dunia bagi masyarakat asia tenggara;0,14;1;;;;;;;;;;;;;;
2618;menang piala dunia asosiasi sepak bola argentina masuk metaverse;0,5;1;;;;;;;;;;;;;;
2619;kalau ga asi games juga gapapa kaya misal olimpiade atau piala dunia gitu gitu kayak juga biasa buka daftar volunteer eh tapi ga tahu sih coba lihat saja nanti;0,13125;1;;;;;;;;;;;;;;
2620;perintah dan fifa pasti piala dunia kamu 20 jala sesuai standar kerja jokowi keren jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi;0,175;1;;;;;;;;;;;;;;
2621;nova88 futsal turnamen piala dunia 2022 roadshow 2 via youtube;0;0;;;;;;;;;;;;;;
2622;padahal sudah bilang mau tidur selimut padahal sudah tahu kalau bangun gara2 org teriak2 piala dunia padahal sudah tahu kalau ribut lebih baik nnton drakor atau ke kantor karena gakan bisa tidur atau gatau;0,5;1;;;;;;;;;;;;;;
2623;beli eksklusif pegang koin beta aremag dengan akhir piala dunia dan lionel messi pimpin argentina raih menang gemilang tampak hanya cocok untuk lepas satu lagi binatang mitologis;0,3875;1;;;;;;;;;;;;;;
2624;4 lembaga pemasyarakatan palembang kemenkumham sumsel para tugas guna jersey banggan tim masing masing untuk tambah riah saat tonton final piala dunia palembanglpka lpkapalembang hamdihasibuan;0,266666667;1;;;;;;;;;;;;;;
2625;2 demam piala dunia memang dapat hampir siapa saja tidak kecuali tugas lembaga pemasyarakatan palembang kemenkumham sumsel minggu 18 12 malam palembanglpka lpkapalembang hamdihasibuan;0;0;;;;;;;;;;;;;;
2626;1 kakanwil kemenkumham sumsel harun sulianto apresiasi lembaga pemasyarakatan palembang gelar acara nonton bareng piala dunia 2022 yang hadir oleh jabat struktural jajar pegawai lembaga pemasyarakatan lembaga pemasyarakatan kelas i palembang palembanglpka lpkapalembang hamdihasibuan;0;0;;;;;;;;;;;;;;
2627;apakah gol dua jepang atas spanyol sah mari kita flashback yuk ke moment moment saat piala dunia qatar 2022 kemarin fifaworldcupfinal japan spain suho tawan v bvlgarixapo aliceinborderland2 aliceinborderlands2 bsc covid19 emilyinparis3 jennaortega aibrthwin;0;0;;;;;;;;;;;;;;
2628;leebbae user14162122112 bahtiarkiki26 ngakakbingits azmeeex idextratime sedang apa ngurusin kewarganegaraannya ngelawak kamu tong inti dia duluan yang pegang tropi piala dunia;0,25;1;;;;;;;;;;;;;;
2629;prediksi pasang parlay mimin hari ini hanya dar referensi boleh di ikut boleh tidak tapi tetap pasang iya di kdslots liga 1 gak kalah seru dong pasti sama piala dunia ligaindonesia sepakbola briliga1 parlay pasangparlay banget bettingonline;0,076666667;1;;;;;;;;;;;;;;
